bathrooms,parking,price,rooms,size,ubication,years
3,2,"2,100,000",5,74 m²,"Manuela Cañizares, Culhuacán CTM Canal Nacional, Coyoacán, Distrito Federal",0 años
2,1,"1,987,500",3,54 m²,"Anacahuita, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
2,2,"3,950,000",2,65 m²,"Privada De Chimalistac  29, Barrio Oxtopulco Universidad, Coyoacán, Distrito Federal",
1,No,"9,500",1,60 m²,"Residencial Cafetales 6, Residencial Cafetales, Coyoacán, Distrito Federal",
2,1,"5,000,000",3,150 m²,"Espartaco, Coyoacán, Distrito Federal",0 años
3,3,"5,195,174",6,121 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
1,1,"678,045",2,63 m²,"Libertad 100, Pedregal De Carrasco, Coyoacán, Distrito Federal",
3,2,"5,800,000",5,127 m²,"Periférico Sur, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
0 años,,"3,500,000",1,2,"Snsn, Campestre Churubusco, Coyoacán, Distrito Federal",
1,1,"2,420,000",2,148 m²,"Gloria, La Candelaria Amp, Coyoacán, Distrito Federal",1
2,1,"4,300,000",4,80 m²,"Vicente Guerrero, Del Carmen, Coyoacán, Distrito Federal",0 años
2,2,"13,500",4,71 m²,"Selva, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
2,1,"15,000",3,110 m²,"Eje 10 Sur Pedro Henriquez Ureña, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
2,0 años,"10,000",2,65 m²,"Ajusco, Coyoacán, Distrito Federal",
2,2,"20,000",2,110 m²,"Av. Anillo Periférico  5146, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
2,2,"2,556,000",4,72 m²,"Copal, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
2,1,"18,000",4,109 m²,"Aguayo, Del Carmen, Coyoacán, Distrito Federal",
1,1,"9,000",2,65 m²,"Arroyo, Jardines Del Pedregal De San Ángel, Coyoacán, Distrito Federal",
2,No,"13,550",3,120 m²,"Av. Taxqueña 1231, Campestre Churubusco, Coyoacán, Distrito Federal",
2,2,"5,455,000",4,92 m²,"Miguel Angel De Quevedo, Barrio La Concepción, Coyoacán, Distrito Federal",0 años
No,2,"8,500",1,2,"Taxqueña 1231, Campestre Churubusco, Coyoacán, Distrito Federal",
1,1,"1,300,000",1,40 m²,"Av. 8 39, Educación, Coyoacán, Distrito Federal",0 años
3,2,"16,000",5,100 m²,"Olímpica, Coyoacán, Distrito Federal",0 años
2,1,"2,473,000",2,72 m²,"Totonacas 450, Ajusco, Coyoacán, Distrito Federal",5
3,2,"3,090,000",5,85 m²,"Eje 10 Sur, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
1,1,"1,807,838",1,35 m²,"Calzada De Tlalpan  2873, El Reloj, Coyoacán, Distrito Federal",8
2,1,"2,178,000",2,64 m²,"Zapotecas 270, Ajusco, Coyoacán, Distrito Federal",6
3,1,"1,950,000",4,97 m²,"Escuela Naval Militar, Alianza Popular Revolucionaria, Coyoacán, Distrito Federal",0 años
3,3,"4,995,155",6,118 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,2,"13,500",4,80 m²,"Anillo Periférico, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
3,2,"14,700",5,118 m²,"Eje 10, Copilco Universidad, Coyoacán, Distrito Federal",0 años
2,2,"5,000,000",4,105 m²,"Anillo Periferico, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
3,2,"7,000,000",5,130 m²,"Periferico, Pedregal De Carrasco, Coyoacán, Distrito Federal",2 años
